Artist;Exhibition Title ;Date;Gender;;;
Henri Matisse;Henri Matisse: The Cut-Outs (17.04.14-07.09.14);2014;(Male);;;
Kazimir Malevich;Malevich (16.07.14-26.10.14);2014;(Male);;;
Richard Tuttle;Richard Tuttle: I Don’t Know . The Weave of Textile Language (14.10.14-06.04.15);2014;(Male);;;
Claude Parent;Liverpool Biennial: Claude Parent: Part of A Needle Walks into a Haystack (05.07.14-26.10.14);2014;(Male);;;
Piet Mondrian;Mondrian and his Studios (06.06.14-05.10.14);2014;(Male);;;
Andy Warhol;Transmitting Andy Warhol (07.11.14-08.02.15);2014;(Male);;;
Barbara Hepworth;Barbara Hepworth: Sculpture for a Modern World (24.06.15-25.10.15);2015;(Female);;;
Christina Mackie;Tate Britain Commission 2015: Christina Mackie (24.03.15-18.10.15);2015;(Female);;;
Agnes Martin;Agnes Martin (03.06.15-11.10.15);2015;(Female);;;
Marlene Dumas;Marlene Dumas: The Image as Burden (05.02.15-10.05.15);2015;(Female);;;
Sonia Delaunay;The EY Exhibition: Sonia Delaunay (15.04.15-09.08.15);2015;(Female);;;
Cathy Wilkes;Cathy Wilkes (06.03.15-31.05.15);2015;(Female);;;
Geta Brătescu;Geta Brătescu (30.06.15-18.10.15);2015;(Female);;;
Leonora Carrington;Leonora Carrington (06.03.15-31.05.15);2015;(Female);;;
Susan Philipsz;Susan Philipsz: War Damaged Musical Instruments [November 21, 2015- April 3, 2016];2015;(Female);;;
Frank Auerbach;Frank Auerbach [October 9, 2015- March 13, 2016];2015;(Male);;;
Glenn Ligon;Glenn Ligon: Encounters and Collisions (30.06.15-18.10.15);2015;(Male);;;
Jackson Pollock;Jackson Pollock: Blind Spots (30.06.15-18.10.15);2015;(Male);;;
Terry Frost;Terry Frost (19.06.15-10.01.16);2015;(Male);;;
Oswaldo Maciá;BP Spotlight: Oswaldo Maciá: Something Going On Above My Head (23.03.15-19.11.15);2015;(Male);;;
Abraham Cruzvillegas;Hyundai Commission 2015: Abraham Cruzvillegas: Empty Lot [October 13, 2015- April 3, 2016];2015;(Male);;;
