Work Number;Artists;Title;Date;Date (Acquisition);Credit Line;Prize in £ (Original Prize); Prize normed ; Gender ;
;JOB, Charles 1853 - 1930;Buckingham Palace (c.1860-80);;2014-2015;presented;4,000 *; 4.000,00   ; (Male) ;
;JOHNSTON, J. Dudley 1868 - 1955;St Paul's from Charing Cross (c.1913);;2014-2015;presented;1,500 *; 1.500,00   ; (Male) ;
;JONES, Colin born 1936;Wapping wall, London (1962);;2014-2015;presented;1,500 *; 1.500,00   ; (Male) ;
;JONES, Colin born 1936;Corner Shop, Lee Green, off Burnt Ash Hill (1962);;2014-2015;presented;1,500 *; 1.500,00   ; (Male) ;
;JONES, Colin born 1936;Law Courts, Temple, London (1962);;2014-2015;presented;1,500 *; 1.500,00   ; (Male) ;
;JONES, Colin born 1936;Kings Cross, London (1962);;2014-2015;presented;1,500 *; 1.500,00   ; (Male) ;
;JONES, Colin born 1936;Kings Cross, London (1962);;2014-2015;presented;1,500 *; 1.500,00   ; (Male) ;
;"JOSEPH, Pierre born 1965
BELHAJ-KACEM, Mehdi born 1973";Trickster Theory Théorie du Trickster (2002);;2014-2015;presented;£ 12,088.39 (US $ 20,000.00); 12.088,39   ; (Group) ;
;KARASZ, Judith 1912-1977;Rope (1931);;2014-2015;purchased;$6,800; 4.284,00   ; (Female) ;
;KARASZ, Judith 1912-1977;Material (Anyagfotó) (1931);;2014-2015;purchased;$6,800; 4.284,00   ; (Female) ;
;KARASZ, Judith 1912-1977;Material Structure (Anyagstruktúra) (1931);;2014-2015;purchased;$6,400; 4.032,00   ; (Female) ;
;KARASZ, Judith 1912-1977;Material Structure (Anyagstruktúra) (1931);;2014-2015;purchased;$6,400; 4.032,00   ; (Female) ;
;KARASZ, Judith 1912-1977;Drought at Újfehértó (1935);;2014-2015;purchased;$6,800; 4.284,00   ; (Female) ;
;KAZMA, Ali born 1971;Obstruc[ons / Jean Factory (2008);;2014-2015;purchased;€ 12,000 (£10,343); 10.343,00   ; (Male) ;
;KAZMA, Ali born 1971;Obstruc[ons / Taxidermist (2009);;2014-2015;purchased;€ 12,000 (£10,343); 10.343,00   ; (Male) ;
;KAZMA, Ali born 1971;Obstruc[ons / Automobile Factory (2012);;2014-2015;purchased;€ 12,000 (£10,343); 10.343,00   ; (Male) ;
;KELLEY, Mike 1954-2012;Channel One, Channel Two, and Channel Three (1994);;2014-2015;presented;$250,000 (£128,476); 128.476,00   ; (Male) ;
;KELLY, Ellsworth born 1923;Red White (1966);;2014-2015;presented;£ 1,924,232.88 (US $ 3,000,000.00); 1.924.232,88   ; (Male) ;
;"KENDER, János 1937–1983
SHUNK, Harry 1942–2006";Shunk-Kender 'World Tour' Series, Berlin (1960s);;2014-2015;presented;$1,000; 630,00   ; (Group) ;
;KENTRIDGE, William born 1955;I am not me, the horse is not mine (2008);;2014-2015;presented;$350,000 (£216,969.84); 216.969,84   ; (Male) ;
;KILLIP, Chris born 1946;Process worker (1989-90);;2014-2015;presented;$ 15,000; 9.450,00   ; (Male) ;
;KILLIP, Chris born 1946;Process worker (1989-90);;2014-2015;presented;$ 15,000; 9.450,00   ; (Male) ;
;KILLIP, Chris born 1946;Tire builder coming of a shift (1989-90);;2014-2015;presented;$ 15,000; 9.450,00   ; (Male) ;
;KILLIP, Chris born 1946;Tire inspector (1989-90);;2014-2015;presented;$ 15,000; 9.450,00   ; (Male) ;
;KILLIP, Chris born 1946;Truck [re builder (1989-90);;2014-2015;presented;$ 15,000; 9.450,00   ; (Male) ;
;KILLIP, Chris born 1946;Car [re builder (1989-90);;2014-2015;presented;$ 15,000; 9.450,00   ; (Male) ;
;KILLIP, Chris born 1946;The road at Ballkilpheric (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;The Sloc from Ballarock Farm (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Waterfall in a former quarry, Laxey (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Man at Glenmaye (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Annie Kaighen's dairy, Cronk y Voddy (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Interior, Kella Mill, Sulby (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;The Lhen trench, Ballaugh (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Mr and Mrs Lowey, Kirkill Farm (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Conage and coastal erosion, Cranstal, Bride (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Geoff Lace with gorse s[cks, the Lhen (1970-73, 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Uniden[fied farmer, St Johns (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Mrs Chris[an Ballamenagh Farm (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;The Faragher Family, Ballacomish Farm (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;The Kinvig family, Ballavervane Farm, St Marks (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Ned Chris[an, his son John and daughter Brenda, Ballaconnell Farm, Rushen (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;The Caley twins, Keilthusthag Farm, Bride. (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Six of the Skillen children, Andreas (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Trees in the Curraghs, Ballaugh (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Mrs Pins, Slieu Whuallian (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;'Many' Sloan at Niarbyl (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;John 'Willie' Garren, Archdeacons Close Farm, St Judes (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Threshing, Grenaby Farm (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Truck [re builder (1989-90);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;My cousin, Stanley Quirk, Cooil-Sleau Farm, Greeba (1970-73, printed 2012-13);;2014-2015;presented;$ 5,000; 3.150,00   ; (Male) ;
;KILLIP, Chris born 1946;Whippet Fancier (1973, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Jimmy's T.V. Repair Shop (1974, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Isolated Tenement (1974, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Brass Band Member (1973, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Windowless Terrace (1973, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Playground with three girls (1974, printed 2010);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Houses with Pit Wheel in Background. Workington? (1976, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Windowless houses, Killingworth New Town, Tyneside (1975, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Woman walking past blast furnaces, Grangetown, Teeside (1976, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Two couples at a bus stop, Wallsend, Tyneside (1975, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Boy outside Prize Bingo Parlor, Newcastle (1976, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;The former leader of Newcastle City Council, T. Dan Smith, at home in Heaton (1980, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Trade Union Official, Sconswood, Tyneside (1979, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Queens Silver Jubilee celebra[on, North Shields, Tyneside (1977, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Two men on a bench, Wallsend, Tyneside, July (1975, printed 2010);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;The same two men, Wallsend, Tyneside, May (1976, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;People queuing outside of bakery during flour shortage ('the bread strike') (1977, printed 2010);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;North Shield Housing Estate on May 5 1981. The day Bobby Sands death was announced. (1981, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Cornershop, Wallsend, Tyneside (1976, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Woman looking up the street, Wallsend, Tyneside (1975, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Girls playing in the road, Wallsend, Tyneside (1975, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Demolished housing, Wallsend, Tyneside (1981, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Couple asleep on the sand, South Shields, Tyneside (1976, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Couple ea[ng fish and chips, Whitley Bay, Tyneside (1976, printed 2010);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Leso, Blackie, Bever, ?, David, on a bench, Whippet standing, Skinningrove (Leso and David were to drown of Skinningrove on July 29, 1986) (1982, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Leso at sea, Skinningrove (1983, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Working on boat repair, Skinningrove (1982, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Cleaning nets, Skinningrove (1981, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Simon being taken to sea for the first [me since his father drowned (1983, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Brian in a duffle coat (1984, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Moira hand-picking in the very good fur coat (1984, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Alison, Brian and Claire on the beach (1983, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Nini and Helen picking out stones from the cart (1983, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Sean leaning against his truck (1983, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Boo and his rabbit (1984, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Machine operator (1989-90);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Finer overhauling a machine (1989-90);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Placing a [re on to the overhead track (1989-90);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Car [re builder (1989-90);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Critch' and Sean surveying the landscape, Seacoal Camp, Lynemouth, Northumberland (1982, printed 2013);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Launch of the supertanker, Everen F. Wells, Wallsend, Tyneside (1976, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Care home day out, Seaburn, Sunderland, Wearside (1975, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Pensioners in a shelter, Whitley Bay, Tyneside (1976, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Leso with his dogs and a gun, Skinningrove (1983, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Brian and uniden[fied man in the water (1984, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Rocker hand-picking seacoal (1984, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Rocker and John dressed in fer[lizer sacks (1983, printed 2012-13);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KILLIP, Chris born 1946;Worker pushing [re (1989-90);;2014-2015;purchased;$2,000; 1.260,00   ; (Male) ;
;KNORR, Karen born 1954;Gentlemen (1981-3);;2014-2015;presented;30,000 *; 30.000,00   ; (Female) ;
;KRASSOWSKI, Witold born 1956;Oxford Street 4 hours after the blasts, 7th July 2005 (2005);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;KRULL, Germaine 1897-1985;Courses, London (1925);;2014-2015;presented;1,500 *; 1.500,00   ; (Female) ;
;KRULL, Germaine 1897-1985;Jeux d'enfants, London (1925);;2014-2015;presented;1,500 *; 1.500,00   ; (Female) ;
;LAM, Anthony born 1966;Un[tled from the series Notes from the Street (1994);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;LAM, Anthony born 1966;Two Boys during Eid, Spitafields, London (1994);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;LAM, Anthony born 1966;Un[tled from the series Notes from the Street (1994);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;LAM, Anthony born 1966;Un[tled from the series Notes from the Street (1994);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;LAM, Anthony born 1966;Un[tled from the series Notes from the Street (1994);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;LANGDON COBURN, Alvin 1882-1966;Westminster Abbey, London (1909);;2014-2015;presented;4,000 *; 4.000,00   ; (Male) ;
;LEIRNER, Jac born 1961;8 levels (2012);;2014-2015;purchased;$72,000; 45.360,00   ; (Female) ;
;LEIRNER, Jac born 1961;Blue Phase (1991);;2014-2015;presented;£ 99,059.41 (US $ 160,000.00); 99.059,41   ; (Female) ;
;LEWCZYNSKI, Jerzy 1924 - 2014;Pessimis[c Triptych (1961);;2014-2015;purchased;€ 2,550 (£2,207); 2.207,00   ; (Male) ;
;LIGON, Glenn born 1960;Come Out #1 (2014);;2014-2015;purchased;$383,333; 241.499,79   ; (Male) ;
;LIMPKIN, Clive;Sale at Chris[es unknown;;2014-2015;presented;200 *; 200,00   ; (Male) ;
;LING, Simon born 1968;Un[tled (2012);;2014-2015;purchased;9,000; 9.000,00   ; (Male) ;
;LOWE, Rachel;A Lener to an Unknown Person no.2 (1996);;2014-2015;purchased;4,500; 4.500,00   ; (Female) ;
;LOWE, Rachel;A Lener to an Unknown Person no.7 (1998);;2014-2015;purchased;4,500; 4.500,00   ; (Female) ;
;M/M (Paris, France), founded 1992;Annlee: Trickster Theory Annlee: Théorie du Trickster (2002);;2014-2015;presented;£ 6,044.20 (US $ 10,000.00); 6.044,20   ; (Group) ;
;M/M (Paris, France), founded 1992;Ann Lee in Anzen Zone (2001);;2014-2015;presented;£ 6,044.20 (US $ 10,000.00); 6.044,20   ; (Group) ;
;M/M (Paris, France), founded 1992;The M/M wallpaper posters (Miami colours) (2003);;2014-2015;presented;£ 6,044.20 (US $ 10,000.00); 6.044,20   ; (Group) ;
;M/M (Paris, France), founded 1992;Ann Lee: No Ghost Just a Shell (2000);;2014-2015;presented;£ 6,044.20 (US $ 10,000.00); 6.044,20   ; (Group) ;
;M/M (Paris, France), founded 1992;Ann Lee: Witness Screen Ann Lee: Écran Témoin (2002);;2014-2015;presented;£ 6,044.20 (US $ 10,000.00); 6.044,20   ; (Group) ;
;MACUGA, Goshka;Death of Marxism, Women of All Lands Unite (2013);;2014-2015;purchased;52,000; 52.000,00   ; (Female) ;
;MAEKAWA, Tsuyoshi born 1936;Two Junc[ons (1962);;2014-2015;purchased;€72,000 (£60,144); 60.144,00   ; (Male) ;
;MAKHACHEVA, Taus born 1983;Gamsutl (2012);;2014-2015;presented;6,800; 6.800,00   ; (Female) ;
;MANCOBA, Ernest 1904 - 2002;Un[tled (1976-88);;2014-2015;presented;£ 15,800.00 (Euros 20,000.00); 15.800,00   ; (Male) ;
;MANCOBA, Ernest 1904 - 2002;Un[tled (1957);;2014-2015;purchased;€100,000 (£80,000); 80.000,00   ; (Male) ;
;MANCOBA, Ernest 1904 - 2002;Un[tled (1957);;2014-2015;purchased;€100,000 (£80,000); 80.000,00   ; (Male) ;
;MARTIN, Georges;Londres, Le Parliament, Westminster (1950);;2014-2015;presented;2,000 *; 2.000,00   ; (Unknown) ;
;MAYNE, Roger 1929-2014;Portland Road (1956);;2014-2015;purchased;3,000 *; 3.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Group, St Stephen Gardens (1957);;2014-2015;purchased;5,000 *; 5.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Boy with a wheel, Southam Street, North Kensington (1959);;2014-2015;purchased;4,000 *; 4.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Pub, Holborn (1958);;2014-2015;purchased;1,000 *; 1.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Girl jiving, Southam Street, North Kensington (1957, printed 1987);;2014-2015;purchased;2,500 *; 2.500,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Girls swinging on a rope, Southam Street (1951);;2014-2015;purchased;3,000 *; 3.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Brindley Street, London (1957);;2014-2015;purchased;3,000 *; 3.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Football, Brindley Road (1957);;2014-2015;purchased;3,000 *; 3.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Children and teenagers, St Stephen's Gardens (1959);;2014-2015;purchased;3,000 *; 3.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Children of the streets of London, St Stephen's Gardens (1957);;2014-2015;purchased;3,000 *; 3.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Street scene, Brindley Road (1957);;2014-2015;purchased;3,000 *; 3.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Girls gambling, Southam Street, North Kensington (1956);;2014-2015;purchased;3,000 *; 3.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;End of a Sunday market, Southwark (1954);;2014-2015;purchased;1,000 *; 1.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Wapping (Gun Wharves) (1959);;2014-2015;purchased;7,500 *; 7.500,00   ; (Male) ;
;MAYNE, Roger 1929-2014;West Indians, Southam Street (1956, printed 1998);;2014-2015;purchased;3,000 *; 3.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;Southam Street Group (1957);;2014-2015;purchased;2,000 *; 2.000,00   ; (Male) ;
;MAYNE, Roger 1929-2014;End of a Sunday Market, Southwark (man bending) (1954);;2014-2015;purchased;1,000 *; 1.000,00   ; (Male) ;
;MEIRO, Koizumi;Portrait of a Young Samurai (2009);;2014-2015;purchased;€24,000 (£20,000); 20.000,00   ; (Male) ;
;MONASTYRSKI, Andrei born 1949;Finger (1978/2013);;2014-2015;purchased;€ 47,273 (£39,237); 39.237,00   ; (Male) ;
;MORRIS, Robert born 1931;Un[tled (1967-8, remade 2008);;2014-2015;presented;160,000; 160.000,00   ; (Male) ;
;MOSS, Marlow 1889-1958;White and Yellow (1935);;2014-2015;purchased;131,179.93; 131.179,93   ; (Non-Binary) ;
;NAHAS, Nabil born 1949;Eclypse (1978);;2014-2015;purchased;$180,000 (£105,502.00); 105.502,00   ; (Male) ;
;NEUENSCHWANDER, Rivane born;Commonplace Lugar Comum (1999);;2014-2015;presented;£ 25,592.09 (US $ 40,000.00); 25.592,09   ; (Female) ;
;NICHOLSON, William 1872-1949;La Rochelle sous la Neige (1939);;2014-2015;presented;20,000; 20.000,00   ; (Male) ;
;NIEDERMAYR, Walter;Vedrena Presena 2 (1996);;2014-2015;allocated;19,746 ¹; 19.746,00   ; (Male) ;
;NIEDERMAYR, Walter;Alpe d'Huez 5 (2008);;2014-2015;allocated;22,777 ¹; 22.777,00   ; (Male) ;
;NIEDERMAYR, Walter;Aspen 25 (1996);;2014-2015;allocated;24,302 ¹; 24.302,00   ; (Male) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOMURA, Sakiko born 1967;Kuroyami (Black Darkness) (2008);;2014-2015;purchased;1,650; 1.650,00   ; (Female) ;
;NOVOTNY, Milon 1930-1992;Chelsea Embankment, London (1966);;2014-2015;presented;2,000 *; 2.000,00   ; (Male) ;
;NOVOTNY, Milon 1930-1992;Throgmorton Street, at the Bank of England Square (1966);;2014-2015;presented;1,500 *; 1.500,00   ; (Male) ;
;OHANIAN, Melik born 1969;I am Dreaming about a Reality (2002);;2014-2015;presented;£ 21,759.10 (US $ 36,000.00); 21.759,10   ; (Male) ;
;OLDENBURG, Claes born 1929;The Store (1961);;2014-2015;transferred;12,000; 12.000,00   ; (Male) ;
;OLDENBURG, Claes born 1929;Claes Oldenburg (1962);;2014-2015;transferred;2,500; 2.500,00   ; (Male) ;
;OLDENBURG, Claes born 1929;Claes Oldenburg at Dwan gallery (1963);;2014-2015;transferred;2,500; 2.500,00   ; (Male) ;
;OLDENBURG, Claes born 1929;Alphabet in the Form of a Good Humor Bar (1970);;2014-2015;transferred;2,500; 2.500,00   ; (Male) ;
;OLDENBURG, Claes born 1929;Lips[ck (Ascending) on Caterpillar Tracks (1969);;2014-2015;transferred;2,000; 2.000,00   ; (Male) ;
;ORLOV, Boris born 1941;Military Person (1979);;2014-2015;purchased;$ 40,000; 25.200,00   ; (Male) ;
;ORLOV, Boris born 1941;Bouquet in Imperial Style (1988);;2014-2015;purchased;$ 40,000; 25.200,00   ; (Male) ;
;ORTIZ, Bernardo born 1972;Un[tled (2006-14);;2014-2015;purchased;$ 16,000; 10.080,00   ; (Male) ;
;OWENS, Laura born 1970;Un[tled (2012);;2014-2015;presented;$ 225,000 (£144,000); 144.000,00   ; (Female) ;
;PARKINSON, Norman 1913-1990;Jeremy Clyde, page-boy to the Duke of Wellington, Apsley House, London (1953);;2014-2015;presented;4,000 *; 4.000,00   ; (Male) ;
;PARKINSON, Norman 1913-1990;Trafalgar Square, London (1964);;2014-2015;presented;6,000 *; 6.000,00   ; (Male) ;
;PARR, Mar[n born 1952;Hyde Park, London (1971);;2014-2015;presented;4,000 *; 4.000,00   ; (Male) ;
;PARR, Mar[n born 1952;Brick Lane, London (1976);;2014-2015;presented;4,000 *; 4.000,00   ; (Male) ;
;PARR, Mar[n born 1952;King's Cross Sta[on, London (1990);;2014-2015;presented;4,000 *; 4.000,00   ; (Male) ;
;PARRENO, Philippe born 1964;Anywhere Out of the World (2000);;2014-2015;presented;£ 90,662.93 (US $ 150,000.00); 90.662,93   ; (Male) ;
;PARRENO, Philippe born 1964;Un[tled (fireworks) (2003);;2014-2015;presented;£ 3,022.10 (US $ 5,000.00); 3.022,10   ; (Male) ;
;PARSONS, Vicken born 1957;Un[tled (2010);;2014-2015;presented;5,000; 5.000,00   ; (Female) ;
;PARSONS, Vicken born 1957;Un[tled (2010);;2014-2015;presented;5,000; 5.000,00   ; (Female) ;
;PARSONS, Vicken born 1957;Un[tled (2010);;2014-2015;presented;5,000; 5.000,00   ; (Female) ;
;PHAOPHANIT, Vong born 1961;Neon Rice Field (1993);;2014-2015;presented;60,000; 60.000,00   ; (Male) ;
;PHILLIPS, Charlie born 1944;Norng Hill Couple (1967);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;PHILLIPS, Richard born 1962;Annlee A erlife (2003);;2014-2015;presented;£ 151,104.88 (US $ 250,000.00); 151.104,88   ; (Male) ;
;POLEDNA, Mathias born 1965;Imita[on of Life (2013);;2014-2015;partly presented, partly purchased;€150,000 (£122,065.36); 122.065,36   ; (Male) ;
;PRICE, Elizabeth born 1966;The Tent (2012);;2014-2015;purchased;40,000; 40.000,00   ; (Female) ;
;PRICE, Elizabeth born 1966;THE WOOLWORTHS CHOIR OF 1979 (2012);;2014-2015;purchased;16,000; 16.000,00   ; (Female) ;
;PRINI, Emilio born 1943;Fermacarte (1968);;2014-2015;presented;250,000; 250.000,00   ; (Male) ;
;QUADAL, Martin Ferdinand 1736-1808;Portrait of Henry Clemetshaw, Musician and Organist of Wakefield Parish Church (1777);;2014-2015;purchased;8,500; 8.500,00   ; (Male) ;
;QUAYTMAN, R. H. born 1961;Spine, Chapter 20 (Ark) (2010);;2014-2015;presented;$24,000; 15.120,00   ; (Female) ;
