Work Number;Artists;Title;Date;Date (Acquisition);Credit Line;Prize in £ (Original Prize); Prize normed ; Gender ;
T15124;METZGER, Gustav 1926-2017;Till we have built Jerusalem in England's green and pleasant land;1998;2018-2019;presented;£75,000; 75.000,00   ; (Male) ;
P82235;MIDDEL, Cristina de born 1975;Mbulumbublu;2012;2018-2019;purchased;£42,000 for whole package; 42.000,00   ; (Female) ;
P82236;MIDDEL, Cristina de born 1975;Hamba;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82237;MIDDEL, Cristina de born 1975;Gwendalu;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82238;MIDDEL, Cristina de born 1975;Yinqaba;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82239;MIDDEL, Cristina de born 1975;Pulula;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82240;MIDDEL, Cristina de born 1975;Butungatanatulu;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82241;MIDDEL, Cristina de born 1975;Butungakuna;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82242;MIDDEL, Cristina de born 1975;Umeko;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82243;MIDDEL, Cristina de born 1975;Wolohka;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82244;MIDDEL, Cristina de born 1975;Angani;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82245;MIDDEL, Cristina de born 1975;Katunga;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82246;MIDDEL, Cristina de born 1975;Kulunguele;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82247;MIDDEL, Cristina de born 1975;Jambo;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82248;MIDDEL, Cristina de born 1975;Ukulalana;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82249;MIDDEL, Cristina de born 1975;Umfundi;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82250;MIDDEL, Cristina de born 1975;Inselele;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82251;MIDDEL, Cristina de born 1975;Ikanda;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82252;MIDDEL, Cristina de born 1975;Dhana;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82253;MIDDEL, Cristina de born 1975;Ifulegi;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82254;MIDDEL, Cristina de born 1975;Botonguru;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82255;MIDDEL, Cristina de born 1975;Bongo;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82256;MIDDEL, Cristina de born 1975;Butunga;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82257;MIDDEL, Cristina de born 1975;Umunka;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82258;MIDDEL, Cristina de born 1975;Umgodi;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82259;MIDDEL, Cristina de born 1975;Inyoni;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82260;MIDDEL, Cristina de born 1975;Bwana;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82261;MIDDEL, Cristina de born 1975;Amanzi;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82262;MIDDEL, Cristina de born 1975;Butungabi;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82263;MIDDEL, Cristina de born 1975;Butungaminga;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82264;MIDDEL, Cristina de born 1975;Ubutongo;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82265;MIDDEL, Cristina de born 1975;Isimema;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82266;MIDDEL, Cristina de born 1975;Indilinga;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82267;MIDDEL, Cristina de born 1975;Kilimanju;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82268;MIDDEL, Cristina de born 1975;Mayango;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82269;MIDDEL, Cristina de born 1975;Lala Kale;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82270;MIDDEL, Cristina de born 1975;Aumbawe;2012;2018-2019;purchased;""""; -     ; (Female) ;
P82271;MIDDEL, Cristina de born 1975;Simba;2012;2018-2019;purchased;""""; -     ; (Female) ;
T15125;MILROY, Lisa born 1959;Weaving (Red);2016;2018-2019;presented;£15,000; 15.000,00   ; (Female) ;
T15253;MILROY, Lisa born 1959;Party of One;2013;2018-2019;presented;£25,000; 25.000,00   ; (Female) ;
P82327;MITCHELL, Peter born 1943;Utopia Planitia. Mars, 1979;1979;2018-2019;purchased;£14,400 for whole package; 14.400,00   ; (Male) ;
P82328;MITCHELL, Peter born 1943;Railway House. Cumbrian Coast, 1976;1976;2018-2019;purchased;""""; -     ; (Male) ;
P82329;MITCHELL, Peter born 1943;Flag Factory. Leeds, 1977;1977;2018-2019;purchased;""""; -     ; (Male) ;
P82330;MITCHELL, Peter born 1943;Quarry Hill Flats. Leeds, 1975;1975;2018-2019;purchased;""""; -     ; (Male) ;
P82331;MITCHELL, Peter born 1943;St. Botolph's Graveyard. London, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82332;MITCHELL, Peter born 1943;Eric Massheader. Leeds, 1975;1975;2018-2019;purchased;""""; -     ; (Male) ;
P82333;MITCHELL, Peter born 1943;Dock Basin. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82334;MITCHELL, Peter born 1943;Hay Dealers. Leeds, 1974;1974;2018-2019;purchased;""""; -     ; (Male) ;
P82335;MITCHELL, Peter born 1943;Keith, Sandra & the kids. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82336;MITCHELL, Peter born 1943;St Mary's Church. Leeds,;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82337;MITCHELL, Peter born 1943;Spoon Factory. Sheffield,;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82338;MITCHELL, Peter born 1943;Mrs. McArthy & her daughter. London, 1975;1975;2018-2019;purchased;""""; -     ; (Male) ;
P82339;MITCHELL, Peter born 1943;Mrs. Lee. Leeds, 1975;1975;2018-2019;purchased;""""; -     ; (Male) ;
P82340;MITCHELL, Peter born 1943;Cooling Towers. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82341;MITCHELL, Peter born 1943;Plumbers. Leeds, 1974;1974;2018-2019;purchased;""""; -     ; (Male) ;
P82342;MITCHELL, Peter born 1943;Chryse Planitia. Mars, 1979.;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82343;MITCHELL, Peter born 1943;Bullus Dye Works. Leeds, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82344;MITCHELL, Peter born 1943;Dairy. London, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82345;MITCHELL, Peter born 1943;Sewage Works. Sheffield,1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82346;MITCHELL, Peter born 1943;Mr. & Mrs. Hudson. Leeds, 1974;1974;2018-2019;purchased;""""; -     ; (Male) ;
P82347;MITCHELL, Peter born 1943;ABC. London, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
